Week,Eric,Quinn,Nate,Ben,Luke,Lo
1,137.58,97.56,102.66,110.18,90.5,127.6
2,94.16,89,96.18,125.72,130.24,148.86
3,84.3,120.62,100.32,95.1,109.4,115.78
4,102.74,74.18,149.9,84.5,107.62,132.02
5,100.46,106.16,128.06,101.78,117.9,105
6,93.12,116.4,114.12,108.02,109.22,100.04
7,105.5,121.56,105.66,79.62,135.6,108.4
8,112.34,122.14,108.62,97.34,99.6,96.72
9,112.94,114.5,104.42,88,135.22,87.3
10,109.14,96,101.32,81.82,101.5,102.46
11,93.58,131.04,114.58,79.88,81.66,105.24
12,85.4,119.64,84.92,84.8,102.9,120.22
13,113.4,105.4,106.58,75.42,85.92,149.28
14,92.78,142.9,120.74,68.94,133.66,131.62
