Week,Eric,Caltz,Slum,Na,Zack,Kinnaird
1,125.14,103.9,134.66,130.98,124.68,74.54
2,119.1,142.96,163.4,158.3,111.28,106.88
3,99.58,140.58,119.82,151.44,116.08,114.4
4,120.18,124.92,115.58,140.72,144,110.14
5,88.44,129.3,106.46,96.64,120.14,118.2
6,68.48,108.56,97.9,133.18,113.18,100.1
7,102.22,120.34,174.12,87.68,50.42,109.1
8,110.58,130.12,119.52,100.86,111.34,105.74
9,120.14,100.5,98.54,135.5,116.26,123.98
10,100.34,122.16,102.98,111.46,78.82,109.16
11,110.35,141.5,141.24,115.26,135.6,136.42
12,121.98,70.88,129.84,110.98,111.36,148.08
