Week,Lo,Dylan,Krieger,North,Jake,Peter
1,122.3,112.52,140.43,139.35,160.46,128.57
2,127.97,185.27,136.18,112.72,135.42,150.83
3,120.95,142.9,132.99,138.84,135.6,149.92
4,148.92,128.33,117.07,130.11,88.51,105.91
5,106.56,152.82,86.75,133.35,117.19,145.01
6,99.35,150.79,106.59,106.42,73.31,113.36
7,99.15,56.93,139.38,146.54,151.48,130.52
8,155.96,162.59,115.21,140.62,92.22,121.54
9,153.05,109.69,95.84,114.9,78.94,119.24
10,93.88,101.6,116.46,90.85,131.45,124.86
11,116.82,140.21,174.8,130.1,156.53,96.32
12,145.67,170.23,87.95,76.77,125.05,119.63
